ID_ALUNO,IDADE,GÊNERO,NÍVEL_ACADÊMICO,PAÍS,MÉDIA_HORAS_USO_DIÁRIO,PLATAFORMA_MAIS_UTILIZADA,AFETA_DESEMPENHO_ACADÊMICO,HORAS_SONO_POR_NOITE,PONTUAÇÃO_SAÚDE_MENTAL,IMPACTO_GERAL,USO_SEVERO,SONO_RUIM,FAIXA_USO,FAIXA_SONO
305,22,Masculino,Pós-graduação,EUA,5.7,LinkedIn,Sim,6.8,6.3,Neutro,True,False,4-6h,6-8h
70,19,Feminino,Graduação,Outro,2.3,Facebook,Não,8.0,8.5,Positivo,False,False,2-4h,6-8h
890,24,Masculino,Graduação,Outro,8.3,Twitter,Sim,5.5,4.3,Negativo,True,False,8h+,4-6h
84,21,Feminino,Graduação,Outro,6.5,Twitter,Sim,5.7,4.2,Negativo,True,False,6-8h,4-6h
246,22,Feminino,Pós-graduação,Outro,6.9,Twitter,Sim,5.3,4.5,Negativo,True,False,6-8h,4-6h
64,20,Masculino,Graduação,Outro,8.1,TikTok,Não,4.5,5.7,Negativo,True,True,8h+,4-6h
851,20,Feminino,Ensino Médio,Outro,7.2,Instagram,Não,4.8,4.2,Negativo,True,True,6-8h,4-6h
827,20,Masculino,Pós-graduação,Outro,4.1,Twitter,Sim,6.6,6.7,Neutro,False,False,4-6h,6-8h
104,18,Masculino,Pós-graduação,Outro,7.2,LinkedIn,Sim,4.5,5.9,Negativo,True,True,6-8h,4-6h
103,19,Feminino,Ensino Médio,Outro,5.2,Twitter,Não,7.5,6.4,Neutro,True,False,4-6h,6-8h
577,20,Masculino,Ensino Médio,Reino Unido,7.4,Instagram,Sim,5.2,5.0,Negativo,True,False,6-8h,4-6h
692,21,Masculino,Ensino Médio,Alemanha,3.6,Instagram,Não,7.1,8.5,Positivo,False,False,2-4h,6-8h
124,22,Feminino,Ensino Médio,Outro,8.0,YouTube,Sim,5.4,4.7,Negativo,True,False,6-8h,4-6h
78,19,Feminino,Graduação,Outro,7.9,Twitter,Não,5.0,4.9,Negativo,True,False,6-8h,4-6h
315,21,Feminino,Graduação,Índia,6.8,YouTube,Sim,5.3,4.6,Negativo,True,False,6-8h,4-6h
483,22,Masculino,Ensino Médio,Austrália,7.3,Twitter,Sim,5.5,4.7,Negativo,True,False,6-8h,4-6h
512,21,Masculino,Graduação,Outro,3.4,LinkedIn,Não,8.6,8.8,Positivo,False,False,2-4h,8h+
147,21,Feminino,Pós-graduação,Reino Unido,4.4,LinkedIn,Sim,6.4,6.6,Neutro,False,False,4-6h,6-8h
603,22,Masculino,Pós-graduação,Outro,5.9,Twitter,Não,4.7,5.4,Negativo,True,True,4-6h,4-6h
102,23,Masculino,Pós-graduação,Reino Unido,6.0,TikTok,Não,4.8,5.5,Negativo,True,True,4-6h,4-6h
654,24,Feminino,Ensino Médio,Outro,3.0,TikTok,Não,8.1,8.0,Positivo,False,False,2-4h,8h+
614,19,Masculino,Ensino Médio,Outro,2.7,Instagram,Não,8.5,7.6,Positivo,False,False,2-4h,8h+
552,24,Masculino,Graduação,Outro,1.7,Instagram,Não,7.7,8.7,Positivo,False,False,0-2h,6-8h
441,22,Feminino,Pós-graduação,Outro,6.2,YouTube,Sim,5.3,5.5,Negativo,True,False,6-8h,4-6h
847,21,Masculino,Graduação,Outro,1.8,TikTok,Não,7.9,8.1,Positivo,False,False,0-2h,6-8h
23,24,Feminino,Ensino Médio,Outro,7.1,Twitter,Sim,5.2,4.8,Negativo,True,False,6-8h,4-6h
46,20,Feminino,Ensino Médio,Índia,6.5,Snapchat,Sim,5.7,4.1,Negativo,True,False,6-8h,4-6h
620,22,Masculino,Ensino Médio,Outro,7.6,Snapchat,Sim,5.9,6.0,Negativo,True,False,6-8h,4-6h
845,19,Feminino,Ensino Médio,Outro,4.9,LinkedIn,Não,6.8,6.6,Neutro,False,False,4-6h,6-8h
434,24,Feminino,Ensino Médio,Outro,8.2,Instagram,Não,5.3,4.4,Negativo,True,False,8h+,4-6h
933,21,Masculino,Graduação,Outro,5.2,Snapchat,Sim,6.4,6.1,Neutro,True,False,4-6h,6-8h
7,19,Feminino,Pós-graduação,Outro,2.9,Instagram,Não,7.9,7.7,Positivo,False,False,2-4h,6-8h
30,23,Feminino,Ensino Médio,Outro,4.4,YouTube,Não,7.3,6.2,Neutro,False,False,4-6h,6-8h
395,20,Feminino,Graduação,Outro,4.0,Snapchat,Não,7.5,7.2,Positivo,False,False,2-4h,6-8h
425,23,Masculino,Ensino Médio,Outro,6.4,TikTok,Sim,5.2,4.6,Negativo,True,False,6-8h,4-6h
865,22,Masculino,Graduação,Reino Unido,8.2,Facebook,Sim,4.6,4.1,Negativo,True,True,8h+,4-6h
776,22,Masculino,Graduação,Outro,5.1,Twitter,Não,6.5,6.9,Neutro,True,False,4-6h,6-8h
867,19,Masculino,Pós-graduação,Outro,2.5,YouTube,Não,7.6,8.4,Positivo,False,False,2-4h,6-8h
295,22,Masculino,Ensino Médio,Outro,6.5,Facebook,Não,5.8,5.5,Negativo,True,False,6-8h,4-6h
786,24,Feminino,Pós-graduação,Austrália,7.5,YouTube,Sim,4.7,5.3,Negativo,True,True,6-8h,4-6h
809,24,Masculino,Pós-graduação,Outro,3.2,LinkedIn,Não,7.1,8.6,Positivo,False,False,2-4h,6-8h
156,23,Masculino,Graduação,Alemanha,7.3,Facebook,Sim,5.7,5.3,Negativo,True,False,6-8h,4-6h
778,18,Feminino,Ensino Médio,EUA,5.7,Instagram,Não,5.1,4.9,Negativo,True,False,4-6h,4-6h
814,23,Feminino,Graduação,Outro,4.7,Instagram,Sim,6.1,6.6,Neutro,False,False,4-6h,6-8h
100,22,Masculino,Pós-graduação,Outro,5.9,Twitter,Não,6.0,7.0,Neutro,True,False,4-6h,4-6h
732,18,Masculino,Ensino Médio,Outro,7.4,YouTube,Sim,5.0,4.7,Negativo,True,False,6-8h,4-6h
43,18,Masculino,Graduação,Índia,8.4,TikTok,Sim,5.9,5.3,Negativo,True,False,8h+,4-6h
708,19,Masculino,Graduação,Índia,8.1,Instagram,Sim,4.8,4.1,Negativo,True,True,8h+,4-6h
337,22,Feminino,Graduação,Outro,3.6,LinkedIn,Não,8.6,8.6,Positivo,False,False,2-4h,8h+
904,20,Masculino,Ensino Médio,Canadá,5.8,Twitter,Sim,5.6,5.5,Negativo,True,False,4-6h,4-6h
201,21,Feminino,Graduação,EUA,8.0,Snapchat,Sim,5.8,5.1,Negativo,True,False,6-8h,4-6h
790,23,Masculino,Ensino Médio,Índia,5.7,Snapchat,Não,5.9,5.2,Negativo,True,False,4-6h,4-6h
335,18,Masculino,Graduação,Austrália,8.0,TikTok,Não,4.6,5.8,Negativo,True,True,6-8h,4-6h
230,23,Masculino,Graduação,Reino Unido,3.7,Instagram,Não,8.4,7.2,Positivo,False,False,2-4h,8h+
4,20,Masculino,Graduação,Outro,3.4,Facebook,Sim,8.6,8.7,Positivo,False,False,2-4h,8h+
161,23,Feminino,Pós-graduação,Austrália,3.3,Facebook,Sim,8.6,8.3,Positivo,False,False,2-4h,8h+
73,18,Feminino,Graduação,Canadá,3.1,Snapchat,Não,7.8,7.5,Positivo,False,False,2-4h,6-8h
489,21,Masculino,Pós-graduação,Outro,8.2,LinkedIn,Sim,6.0,5.4,Negativo,True,False,8h+,4-6h
679,20,Masculino,Pós-graduação,EUA,4.1,LinkedIn,Não,7.2,6.8,Neutro,False,False,4-6h,6-8h
118,18,Feminino,Ensino Médio,Outro,3.5,TikTok,Não,7.0,6.5,Neutro,False,False,2-4h,6-8h
130,21,Masculino,Ensino Médio,Outro,5.9,Facebook,Não,6.0,6.7,Neutro,True,False,4-6h,4-6h
970,22,Masculino,Ensino Médio,Alemanha,5.6,YouTube,Sim,5.6,5.7,Negativo,True,False,4-6h,4-6h
220,22,Masculino,Pós-graduação,Canadá,3.8,YouTube,Não,7.5,7.9,Positivo,False,False,2-4h,6-8h
209,20,Masculino,Graduação,Outro,3.8,Facebook,Não,7.6,8.7,Positivo,False,False,2-4h,6-8h
188,21,Feminino,Pós-graduação,Outro,5.8,Facebook,Sim,5.8,4.9,Negativo,True,False,4-6h,4-6h
706,18,Masculino,Graduação,Outro,3.7,Snapchat,Sim,7.5,7.0,Positivo,False,False,2-4h,6-8h
328,20,Feminino,Ensino Médio,Outro,2.9,LinkedIn,Não,8.3,8.4,Positivo,False,False,2-4h,8h+
662,21,Masculino,Ensino Médio,Índia,4.5,LinkedIn,Sim,7.5,7.0,Neutro,False,False,4-6h,6-8h
400,21,Masculino,Ensino Médio,Outro,3.8,Snapchat,Sim,7.2,6.1,Neutro,False,False,2-4h,6-8h
931,20,Masculino,Graduação,Outro,2.9,Twitter,Não,8.2,7.6,Positivo,False,False,2-4h,8h+
752,23,Masculino,Graduação,Outro,5.0,Twitter,Não,6.7,6.8,Neutro,False,False,4-6h,6-8h
542,21,Masculino,Graduação,Outro,6.5,Instagram,Sim,5.6,4.3,Negativo,True,False,6-8h,4-6h
570,22,Feminino,Ensino Médio,Reino Unido,3.6,Instagram,Sim,7.1,6.0,Neutro,False,False,2-4h,6-8h
369,18,Masculino,Pós-graduação,Outro,6.9,LinkedIn,Sim,5.9,4.9,Negativo,True,False,6-8h,4-6h
48,23,Feminino,Pós-graduação,Outro,2.3,TikTok,Não,8.3,8.8,Positivo,False,False,2-4h,8h+
444,19,Masculino,Graduação,Outro,2.6,Snapchat,Não,7.8,8.8,Positivo,False,False,2-4h,6-8h
352,22,Masculino,Pós-graduação,Outro,6.2,Instagram,Sim,4.8,5.9,Negativo,True,True,6-8h,4-6h
644,24,Feminino,Pós-graduação,Austrália,3.8,Instagram,Não,7.3,6.5,Neutro,False,False,2-4h,6-8h
296,20,Feminino,Pós-graduação,Outro,7.5,Instagram,Sim,4.7,4.6,Negativo,True,True,6-8h,4-6h
866,20,Masculino,Pós-graduação,Índia,3.8,Instagram,Não,8.2,7.8,Positivo,False,False,2-4h,8h+
183,21,Feminino,Graduação,Outro,8.4,TikTok,Não,5.3,5.9,Negativo,True,False,8h+,4-6h
557,24,Feminino,Graduação,Outro,5.9,Twitter,Sim,4.9,4.1,Negativo,True,True,4-6h,4-6h
971,22,Masculino,Ensino Médio,Austrália,6.0,YouTube,Sim,6.8,6.9,Neutro,True,False,4-6h,6-8h
458,23,Masculino,Graduação,Outro,3.5,TikTok,Sim,8.5,7.3,Positivo,False,False,2-4h,8h+
864,21,Masculino,Graduação,Outro,3.1,LinkedIn,Não,8.5,8.5,Positivo,False,False,2-4h,8h+
504,19,Feminino,Graduação,Canadá,4.5,Instagram,Sim,6.1,6.6,Neutro,False,False,4-6h,6-8h
987,21,Feminino,Pós-graduação,Outro,5.6,Instagram,Sim,5.4,5.1,Negativo,True,False,4-6h,4-6h
419,21,Feminino,Graduação,Outro,3.6,Facebook,Não,7.2,9.0,Positivo,False,False,2-4h,6-8h
869,18,Masculino,Graduação,Reino Unido,7.3,LinkedIn,Não,5.3,4.0,Negativo,True,False,6-8h,4-6h
117,21,Feminino,Ensino Médio,Outro,8.3,YouTube,Sim,5.1,4.2,Negativo,True,False,8h+,4-6h
800,20,Feminino,Ensino Médio,Índia,5.1,LinkedIn,Não,6.3,6.1,Neutro,True,False,4-6h,6-8h
6,24,Feminino,Graduação,Índia,3.4,YouTube,Não,8.0,7.5,Positivo,False,False,2-4h,6-8h
558,22,Feminino,Ensino Médio,Outro,8.0,Instagram,Sim,4.9,4.0,Negativo,True,True,6-8h,4-6h
983,18,Masculino,Ensino Médio,Outro,3.7,LinkedIn,Sim,6.9,6.9,Neutro,False,False,2-4h,6-8h
79,18,Feminino,Pós-graduação,Outro,3.3,Instagram,Não,8.3,8.5,Positivo,False,False,2-4h,8h+
225,21,Masculino,Ensino Médio,Outro,5.3,Twitter,Sim,7.3,6.7,Neutro,True,False,4-6h,6-8h
3,23,Feminino,Ensino Médio,EUA,3.8,Instagram,Não,7.4,7.1,Positivo,False,False,2-4h,6-8h
634,24,Masculino,Ensino Médio,Outro,3.7,Instagram,Não,7.4,8.7,Positivo,False,False,2-4h,6-8h
712,22,Feminino,Ensino Médio,Outro,1.9,Twitter,Não,9.0,8.6,Positivo,False,False,0-2h,8h+
656,21,Feminino,Graduação,Alemanha,4.4,Facebook,Sim,6.5,6.5,Neutro,False,False,4-6h,6-8h
873,18,Feminino,Pós-graduação,Reino Unido,4.0,LinkedIn,Não,6.9,6.1,Neutro,False,False,2-4h,6-8h
975,20,Masculino,Graduação,Outro,5.6,YouTube,Sim,5.3,5.4,Negativo,True,False,4-6h,4-6h
469,22,Feminino,Ensino Médio,Outro,3.2,YouTube,Não,8.3,7.5,Positivo,False,False,2-4h,8h+
421,21,Feminino,Graduação,Reino Unido,6.1,Snapchat,Sim,4.5,4.1,Negativo,True,True,6-8h,4-6h
325,18,Feminino,Pós-graduação,Austrália,5.3,TikTok,Sim,7.1,6.4,Neutro,True,False,4-6h,6-8h
76,18,Feminino,Graduação,Outro,5.6,LinkedIn,Sim,5.9,5.2,Negativo,True,False,4-6h,4-6h
371,24,Masculino,Graduação,Outro,6.3,TikTok,Sim,5.5,5.6,Negativo,True,False,6-8h,4-6h
617,23,Feminino,Ensino Médio,Outro,5.8,Snapchat,Não,6.9,6.1,Neutro,True,False,4-6h,6-8h
101,23,Masculino,Graduação,Canadá,2.8,Twitter,Sim,7.7,8.1,Positivo,False,False,2-4h,6-8h
831,18,Feminino,Graduação,Outro,6.5,YouTube,Não,5.6,4.3,Negativo,True,False,6-8h,4-6h
900,23,Feminino,Graduação,Austrália,4.6,Snapchat,Sim,6.9,6.6,Neutro,False,False,4-6h,6-8h
828,18,Feminino,Graduação,EUA,7.0,TikTok,Não,4.9,5.4,Negativo,True,True,6-8h,4-6h
312,18,Masculino,Graduação,Outro,1.8,Twitter,Não,8.0,8.0,Positivo,False,False,0-2h,6-8h
583,18,Masculino,Ensino Médio,Outro,3.7,Instagram,Não,6.3,6.5,Neutro,False,False,2-4h,6-8h
285,18,Masculino,Pós-graduação,Outro,7.9,TikTok,Sim,5.9,4.7,Negativo,True,False,6-8h,4-6h
267,22,Masculino,Graduação,Índia,4.6,Snapchat,Sim,6.6,6.9,Neutro,False,False,4-6h,6-8h
460,20,Feminino,Graduação,Outro,8.2,Twitter,Sim,5.8,4.6,Negativo,True,False,8h+,4-6h
248,21,Feminino,Graduação,Outro,8.4,TikTok,Não,5.9,5.0,Negativo,True,False,8h+,4-6h
652,22,Feminino,Graduação,Outro,3.7,TikTok,Sim,7.1,6.7,Neutro,False,False,2-4h,6-8h
385,23,Feminino,Pós-graduação,Outro,7.3,TikTok,Sim,5.5,5.7,Negativo,True,False,6-8h,4-6h
909,24,Feminino,Graduação,Outro,2.9,Twitter,Sim,7.7,8.1,Positivo,False,False,2-4h,6-8h
422,18,Masculino,Graduação,Outro,1.8,Twitter,Não,8.9,8.6,Positivo,False,False,0-2h,8h+
767,23,Feminino,Graduação,Outro,6.3,Snapchat,Sim,5.7,5.9,Negativo,True,False,6-8h,4-6h
950,19,Masculino,Graduação,Outro,3.4,YouTube,Não,8.6,7.6,Positivo,False,False,2-4h,8h+
16,24,Masculino,Ensino Médio,Outro,5.7,Facebook,Sim,6.8,6.6,Neutro,True,False,4-6h,6-8h
546,24,Feminino,Pós-graduação,Outro,3.8,Facebook,Não,7.4,6.3,Neutro,False,False,2-4h,6-8h
199,21,Masculino,Ensino Médio,Outro,3.6,TikTok,Não,7.4,7.8,Positivo,False,False,2-4h,6-8h
496,18,Feminino,Pós-graduação,Outro,6.5,Facebook,Não,4.7,4.8,Negativo,True,True,6-8h,4-6h
364,24,Feminino,Graduação,Outro,7.8,YouTube,Sim,5.4,5.6,Negativo,True,False,6-8h,4-6h
587,22,Masculino,Pós-graduação,EUA,3.7,TikTok,Não,7.1,7.5,Positivo,False,False,2-4h,6-8h
838,18,Masculino,Ensino Médio,Outro,3.7,LinkedIn,Sim,6.7,6.2,Neutro,False,False,2-4h,6-8h
155,19,Masculino,Graduação,Índia,5.7,Facebook,Sim,7.2,6.2,Neutro,True,False,4-6h,6-8h
956,18,Feminino,Graduação,EUA,3.3,Facebook,Não,8.0,8.8,Positivo,False,False,2-4h,6-8h
632,21,Feminino,Graduação,Outro,3.3,Facebook,Não,8.2,8.6,Positivo,False,False,2-4h,8h+
897,20,Masculino,Graduação,Outro,1.8,Snapchat,Não,8.5,7.5,Positivo,False,False,0-2h,8h+
457,23,Feminino,Pós-graduação,Canadá,5.4,Snapchat,Sim,7.1,6.5,Neutro,True,False,4-6h,6-8h
358,20,Feminino,Ensino Médio,Outro,5.9,YouTube,Sim,4.9,5.1,Negativo,True,True,4-6h,4-6h
842,20,Masculino,Ensino Médio,Austrália,3.3,LinkedIn,Não,8.8,7.9,Positivo,False,False,2-4h,8h+
432,24,Masculino,Graduação,Outro,7.2,Snapchat,Sim,4.7,5.4,Negativo,True,True,6-8h,4-6h
688,18,Masculino,Pós-graduação,Outro,1.6,Snapchat,Não,8.1,8.6,Positivo,False,False,0-2h,8h+
777,24,Feminino,Ensino Médio,Outro,3.4,YouTube,Não,8.2,8.2,Positivo,False,False,2-4h,8h+
982,22,Feminino,Graduação,Outro,2.6,Twitter,Não,7.5,8.5,Positivo,False,False,2-4h,6-8h
548,20,Feminino,Graduação,EUA,5.1,Twitter,Sim,6.5,6.9,Neutro,True,False,4-6h,6-8h
15,23,Feminino,Graduação,Outro,5.8,Instagram,Não,6.2,6.2,Neutro,True,False,4-6h,6-8h
815,19,Masculino,Graduação,Austrália,4.3,Instagram,Sim,6.7,6.3,Neutro,False,False,4-6h,6-8h
914,20,Feminino,Graduação,Outro,2.5,TikTok,Sim,7.7,8.5,Positivo,False,False,2-4h,6-8h
375,22,Feminino,Pós-graduação,Outro,5.8,YouTube,Sim,6.0,4.7,Negativo,True,False,4-6h,4-6h
859,20,Masculino,Ensino Médio,Outro,2.5,LinkedIn,Não,7.4,8.2,Positivo,False,False,2-4h,6-8h
834,19,Feminino,Pós-graduação,Austrália,6.4,TikTok,Sim,5.5,4.4,Negativo,True,False,6-8h,4-6h
965,20,Masculino,Graduação,Outro,7.8,Twitter,Sim,5.2,5.2,Negativo,True,False,6-8h,4-6h
678,20,Masculino,Pós-graduação,EUA,6.5,Twitter,Sim,4.5,4.2,Negativo,True,True,6-8h,4-6h
791,22,Feminino,Pós-graduação,Índia,3.0,YouTube,Sim,8.9,7.1,Positivo,False,False,2-4h,8h+
377,24,Feminino,Graduação,Outro,1.5,Facebook,Sim,7.2,7.6,Positivo,False,False,0-2h,6-8h
368,19,Feminino,Graduação,Outro,8.1,TikTok,Sim,5.6,5.5,Negativo,True,False,8h+,4-6h
193,21,Feminino,Ensino Médio,Outro,2.6,Snapchat,Sim,7.4,7.4,Positivo,False,False,2-4h,6-8h
782,18,Masculino,Ensino Médio,Outro,2.7,Snapchat,Não,8.5,7.6,Positivo,False,False,2-4h,8h+
442,23,Feminino,Graduação,Outro,2.4,Snapchat,Sim,7.6,7.6,Positivo,False,False,2-4h,6-8h
722,23,Feminino,Ensino Médio,Outro,6.6,TikTok,Sim,6.0,5.0,Negativo,True,False,6-8h,4-6h
674,22,Masculino,Graduação,EUA,3.8,YouTube,Não,7.9,7.3,Positivo,False,False,2-4h,6-8h
174,21,Feminino,Pós-graduação,EUA,5.8,LinkedIn,Não,7.0,6.4,Neutro,True,False,4-6h,6-8h
374,20,Masculino,Graduação,Outro,8.2,LinkedIn,Sim,6.0,5.7,Negativo,True,False,8h+,4-6h
348,22,Masculino,Ensino Médio,Outro,4.5,Facebook,Sim,6.0,6.3,Neutro,False,False,4-6h,4-6h
730,18,Feminino,Pós-graduação,Outro,5.6,Twitter,Sim,4.8,5.9,Negativo,True,True,4-6h,4-6h
281,20,Masculino,Ensino Médio,Outro,3.5,TikTok,Não,7.9,7.8,Positivo,False,False,2-4h,6-8h
957,23,Feminino,Pós-graduação,Outro,2.9,YouTube,Sim,7.3,8.5,Positivo,False,False,2-4h,6-8h
819,19,Masculino,Graduação,EUA,6.6,TikTok,Sim,5.9,5.0,Negativo,True,False,6-8h,4-6h
27,24,Masculino,Graduação,Índia,8.0,Twitter,Sim,5.1,5.3,Negativo,True,False,6-8h,4-6h
639,18,Masculino,Graduação,Outro,7.3,LinkedIn,Sim,5.1,4.1,Negativo,True,False,6-8h,4-6h
826,19,Feminino,Ensino Médio,Outro,2.5,Twitter,Não,7.3,8.3,Positivo,False,False,2-4h,6-8h
723,19,Masculino,Pós-graduação,Canadá,2.6,TikTok,Não,8.4,8.2,Positivo,False,False,2-4h,8h+
206,24,Masculino,Pós-graduação,Índia,2.3,Twitter,Não,8.3,8.9,Positivo,False,False,2-4h,8h+
28,21,Masculino,Graduação,Outro,5.3,Twitter,Sim,7.3,6.1,Neutro,True,False,4-6h,6-8h
728,19,Feminino,Ensino Médio,Outro,7.7,Snapchat,Sim,5.7,5.3,Negativo,True,False,6-8h,4-6h
594,19,Feminino,Ensino Médio,Outro,4.6,Snapchat,Não,6.2,6.2,Neutro,False,False,4-6h,6-8h
153,21,Masculino,Pós-graduação,Outro,5.9,YouTube,Não,7.1,6.4,Neutro,True,False,4-6h,6-8h
784,18,Masculino,Ensino Médio,Outro,7.5,LinkedIn,Sim,5.0,5.4,Negativo,True,False,6-8h,4-6h
913,18,Masculino,Pós-graduação,Canadá,6.3,LinkedIn,Sim,6.0,6.0,Negativo,True,False,6-8h,4-6h
11,19,Masculino,Pós-graduação,Outro,5.3,YouTube,Não,7.0,6.7,Neutro,True,False,4-6h,6-8h
451,23,Feminino,Graduação,Outro,1.6,TikTok,Sim,8.7,8.9,Positivo,False,False,0-2h,8h+
985,20,Masculino,Ensino Médio,Outro,6.5,LinkedIn,Sim,4.5,4.7,Negativo,True,True,6-8h,4-6h
724,20,Feminino,Graduação,Outro,8.2,Twitter,Sim,5.0,5.9,Negativo,True,False,8h+,4-6h
239,23,Masculino,Ensino Médio,Outro,6.1,LinkedIn,Sim,5.9,4.8,Negativo,True,False,6-8h,4-6h
160,22,Masculino,Graduação,Outro,5.7,LinkedIn,Não,7.3,6.9,Neutro,True,False,4-6h,6-8h
793,19,Feminino,Graduação,Outro,5.1,Twitter,Sim,7.1,6.6,Neutro,True,False,4-6h,6-8h
389,24,Masculino,Pós-graduação,Outro,3.8,Twitter,Sim,6.3,6.2,Neutro,False,False,2-4h,6-8h
437,20,Masculino,Pós-graduação,Índia,5.7,YouTube,Sim,5.1,4.2,Negativo,True,False,4-6h,4-6h
935,20,Feminino,Pós-graduação,Reino Unido,6.6,Facebook,Sim,5.3,4.6,Negativo,True,False,6-8h,4-6h
321,20,Masculino,Graduação,EUA,8.3,Instagram,Sim,5.1,5.8,Negativo,True,False,8h+,4-6h
186,20,Masculino,Pós-graduação,Outro,7.1,Instagram,Sim,6.0,4.5,Negativo,True,False,6-8h,4-6h
